time,latitude,longitude,valid_time,sp,msl,tcc,u10,v10,t2m,d2m,ssrd,tp
2010-01-01 00:00:00,51.19,22.48,2010-01-01 00:00:00,97254.69,99855.44,1.0,-3.3780155,0.35128498,269.646,268.78125,0.0,0.00011873654
2010-01-01 06:00:00,51.19,22.48,2010-01-01 06:00:00,96939.75,99513.25,0.99994135,-3.1094084,0.91405934,270.82153,270.3186,0.0,0.00019236047
2010-01-01 12:00:00,51.19,22.48,2010-01-01 12:00:00,96791.5,99348.69,1.0,-2.867303,-0.41643304,273.3169,272.66772,272031.88,4.826703e-05
2010-01-01 18:00:00,51.19,22.48,2010-01-01 18:00:00,96988.625,99561.375,0.986095,-2.3487854,-0.9824625,272.156,271.66724,0.0,1.0949057e-05
2010-01-02 00:00:00,51.19,22.48,2010-01-02 00:00:00,97280.81,99876.31,0.99341375,-1.817853,-1.1714783,270.69556,270.20874,0.0,2.8344293e-05
2010-01-02 06:00:00,51.19,22.48,2010-01-02 06:00:00,97574.56,100185.875,1.0,-1.4249125,-1.068265,270.01416,269.59546,0.0,7.250454e-05
2010-01-02 12:00:00,51.19,22.48,2010-01-02 12:00:00,97921.5,100540.56,1.0,-0.64925104,-1.0445442,270.60254,269.6997,248189.38,0.000107743486
2010-01-02 18:00:00,51.19,22.48,2010-01-02 18:00:00,98313.19,100951.125,1.0,-0.31478316,-1.1102314,269.8003,269.56055,0.0,9.527392e-05
2010-01-03 00:00:00,51.19,22.48,2010-01-03 00:00:00,98554.5,101206.875,1.0,0.28818834,-1.6138086,269.0935,269.09277,0.0,0.00022108742
2010-01-03 06:00:00,51.19,22.48,2010-01-03 06:00:00,98751.81,101420.25,1.0,0.4932981,-2.7169466,268.07788,268.07812,0.0,0.00034598703
2010-01-03 12:00:00,51.19,22.48,2010-01-03 12:00:00,98954.5,101639.0,1.0,0.600681,-3.159999,266.8142,265.0359,418139.56,0.0001606562
2010-01-03 18:00:00,51.19,22.48,2010-01-03 18:00:00,99210.19,101928.875,1.0,0.9937864,-2.2119093,263.0,262.24976,0.0,4.8809932e-05
2010-01-04 00:00:00,51.19,22.48,2010-01-04 00:00:00,99322.94,102053.81,0.99743164,1.19277,0.24480522,260.02368,259.10913,0.0,3.7951231e-06
2010-01-04 06:00:00,51.19,22.48,2010-01-04 06:00:00,99358.5,102088.06,0.86290056,1.6742306,0.99250364,257.3562,256.74585,0.0,9.15177e-07
2010-01-04 12:00:00,51.19,22.48,2010-01-04 12:00:00,99321.25,102028.375,0.9090559,1.5210695,1.3405457,265.42065,263.59497,441052.12,8.1815615e-06
2010-01-04 18:00:00,51.19,22.48,2010-01-04 18:00:00,99206.94,101888.56,0.82997215,0.095790565,2.6052504,264.06934,263.09912,0.0,7.247174e-07
2010-01-05 00:00:00,51.19,22.48,2010-01-05 00:00:00,99069.375,101768.625,0.8608528,0.9758565,3.5521107,261.78027,260.4004,0.0,0.0
2010-01-05 06:00:00,51.19,22.48,2010-01-05 06:00:00,98975.56,101668.81,0.7615893,0.6115834,3.1795206,262.65015,261.58667,0.0,1.1630573e-06
2010-01-05 12:00:00,51.19,22.48,2010-01-05 12:00:00,98862.25,101542.56,0.72279674,-0.3774134,2.5138416,266.8899,263.84082,795093.94,0.0
2010-01-05 18:00:00,51.19,22.48,2010-01-05 18:00:00,98845.0,101515.31,0.11922938,-2.2290583,1.6125536,262.64087,261.19043,0.0,0.0
2010-01-06 00:00:00,51.19,22.48,2010-01-06 00:00:00,98588.56,101277.75,0.7192088,-3.429802,1.9310884,261.89575,260.83618,0.0,0.0
2010-01-06 06:00:00,51.19,22.48,2010-01-06 06:00:00,98212.31,100896.06,1.0,-5.034561,1.0968475,264.3335,263.42725,0.0,8.642441e-06
2010-01-06 12:00:00,51.19,22.48,2010-01-06 12:00:00,97819.56,100450.56,1.0,-4.437214,0.35697377,268.54932,267.58716,290342.0,0.00029067672
2010-01-06 18:00:00,51.19,22.48,2010-01-06 18:00:00,97595.875,100206.81,1.0,-0.9024831,0.020983007,269.3108,268.8152,0.0,0.00013573427
2010-01-07 00:00:00,51.19,22.48,2010-01-07 00:00:00,97808.31,100433.06,0.95661986,2.9153833,0.63604116,268.77686,268.0979,0.0,6.4075402e-06
2010-01-07 06:00:00,51.19,22.48,2010-01-07 06:00:00,98218.81,100879.375,0.92644125,2.5177689,1.0938358,268.10693,267.4121,0.0,4.6538926e-06
2010-01-07 12:00:00,51.19,22.48,2010-01-07 12:00:00,98553.94,101212.875,1.0,1.2810268,0.45222485,268.94604,267.2727,405617.5,9.916648e-07
2010-01-07 18:00:00,51.19,22.48,2010-01-07 18:00:00,98868.81,101529.31,0.95961195,0.91693085,0.66254413,268.89233,268.15552,0.0,0.00017171756
2010-01-08 00:00:00,51.19,22.48,2010-01-08 00:00:00,99259.06,101916.75,0.76251143,0.528227,1.3811073,269.17798,268.43457,0.0,1.1252474e-05
2010-01-08 06:00:00,51.19,22.48,2010-01-08 06:00:00,99548.25,102214.0,1.0,0.09276217,1.4526043,266.77612,266.2671,0.0,3.5666726e-06
2010-01-08 12:00:00,51.19,22.48,2010-01-08 12:00:00,99619.06,102296.19,1.0,-2.3862352,-1.1351261,269.84375,268.67114,461106.2,1.2912231e-05
2010-01-08 18:00:00,51.19,22.48,2010-01-08 18:00:00,99430.625,102103.375,1.0,-5.0356483,-1.5208311,269.22656,268.26196,0.0,0.00011443715
2010-01-09 00:00:00,51.19,22.48,2010-01-09 00:00:00,99096.81,101752.75,1.0,-6.0211506,-1.3732395,270.01953,269.08154,0.0,0.00053230836
2010-01-09 06:00:00,51.19,22.48,2010-01-09 06:00:00,98913.25,101549.31,1.0,-6.6421137,-1.1406946,270.53418,269.99194,0.0,0.00043664197
2010-01-09 12:00:00,51.19,22.48,2010-01-09 12:00:00,98882.25,101530.44,1.0,-5.695627,-1.2615032,270.59375,269.80762,261819.62,0.00013206848
2010-01-09 18:00:00,51.19,22.48,2010-01-09 18:00:00,98849.69,101491.875,1.0,-6.2399025,-1.4070168,270.781,270.17847,0.0,4.1674153e-05
2010-01-10 00:00:00,51.19,22.48,2010-01-10 00:00:00,98746.19,101389.125,1.0,-5.0714235,-1.7848072,270.37817,269.64697,0.0,3.1586373e-05
2010-01-10 06:00:00,51.19,22.48,2010-01-10 06:00:00,98514.5,101135.06,1.0,-4.8085146,-2.4539375,270.84863,270.34912,0.0,0.00021655357
2010-01-10 12:00:00,51.19,22.48,2010-01-10 12:00:00,98509.0,101126.25,0.9994603,-3.8371725,-1.9420614,271.88867,271.51,350610.25,0.00033803354
2010-01-10 18:00:00,51.19,22.48,2010-01-10 18:00:00,98546.75,101154.875,1.0,-3.8963003,-1.3519363,272.64844,272.40796,0.0,0.00021285487
2010-01-11 00:00:00,51.19,22.48,2010-01-11 00:00:00,98633.44,101250.69,1.0,-1.8898354,-1.8327456,271.8816,271.65527,0.0,1.1405813e-05
2010-01-11 06:00:00,51.19,22.48,2010-01-11 06:00:00,98712.875,101338.94,0.99946237,-0.9227062,-1.7973099,271.24927,271.01074,0.0,0.00016751216
2010-01-11 12:00:00,51.19,22.48,2010-01-11 12:00:00,98935.19,101569.625,1.0,-0.28136575,-1.8410435,271.36963,270.41602,358427.5,1.7543725e-06
2010-01-11 18:00:00,51.19,22.48,2010-01-11 18:00:00,99111.06,101757.875,1.0,-0.08022952,-1.9275951,270.3794,269.9829,0.0,0.000288181
2010-01-12 00:00:00,51.19,22.48,2010-01-12 00:00:00,99250.44,101906.5,1.0,-0.098650575,-2.4094572,269.6682,269.42188,0.0,0.00019288478
2010-01-12 06:00:00,51.19,22.48,2010-01-12 06:00:00,99271.06,101928.69,1.0,-1.1742535,-2.4116688,269.8579,269.56885,0.0,0.00012966237
2010-01-12 12:00:00,51.19,22.48,2010-01-12 12:00:00,99271.94,101923.125,1.0,-1.0589933,-2.2597475,270.6543,269.84302,216878.06,4.497703e-05
2010-01-12 18:00:00,51.19,22.48,2010-01-12 18:00:00,99234.625,101891.19,1.0,-2.3417768,-1.9280348,270.05737,269.64624,0.0,4.734368e-05
2010-01-13 00:00:00,51.19,22.48,2010-01-13 00:00:00,99219.375,101875.125,0.9928151,-1.7113199,-1.9402695,270.25098,269.96216,0.0,2.2525317e-05
2010-01-13 06:00:00,51.19,22.48,2010-01-13 06:00:00,99229.44,101930.06,1.0,-2.57975,-1.7930613,267.33496,267.05957,0.0,7.78302e-06
2010-01-13 12:00:00,51.19,22.48,2010-01-13 12:00:00,99244.125,101939.81,1.0,-2.462676,-1.4242411,267.4192,265.73633,658994.3,2.0408943e-06
2010-01-13 18:00:00,51.19,22.48,2010-01-13 18:00:00,99321.31,102045.375,0.62572527,-2.5162334,-0.92451423,264.2356,263.43286,0.0,4.579138e-07
2010-01-14 00:00:00,51.19,22.48,2010-01-14 00:00:00,99321.625,102055.69,0.32073087,-2.534175,-0.6777146,261.05225,260.08203,0.0,2.669475e-07
2010-01-14 06:00:00,51.19,22.48,2010-01-14 06:00:00,99383.625,102155.31,0.12836754,-2.9291868,-0.32901615,258.7124,257.66797,0.0,1.011238e-06
2010-01-14 12:00:00,51.19,22.48,2010-01-14 12:00:00,99428.44,102154.0,0.9592357,-2.710312,-0.5671052,264.76343,262.86816,502390.56,1.14464e-06
2010-01-14 18:00:00,51.19,22.48,2010-01-14 18:00:00,99573.0,102299.31,0.9132804,-3.23907,0.07209945,265.0349,264.1687,0.0,1.8693572e-06
2010-01-15 00:00:00,51.19,22.48,2010-01-15 00:00:00,99786.31,102500.69,1.0,-2.7309608,-0.026814763,264.65576,263.88892,0.0,7.668398e-06
2010-01-15 06:00:00,51.19,22.48,2010-01-15 06:00:00,99997.19,102715.625,0.9978447,-2.5362816,-0.6129266,264.41333,263.6919,0.0,2.0027592e-06
2010-01-15 12:00:00,51.19,22.48,2010-01-15 12:00:00,100231.44,102940.31,0.9631809,-1.8228922,-1.0148716,266.2224,264.84082,445370.56,2.4031087e-06
2010-01-15 18:00:00,51.19,22.48,2010-01-15 18:00:00,100532.69,103260.0,0.96909505,-2.213645,-0.9950284,265.39868,264.6477,0.0,2.8034583e-06
2010-01-16 00:00:00,51.19,22.48,2010-01-16 00:00:00,100771.81,103497.31,0.9046344,-1.9098892,-0.104157686,264.4414,263.86914,0.0,6.370782e-06
2010-01-16 06:00:00,51.19,22.48,2010-01-16 06:00:00,100877.56,103617.31,0.70306987,-2.8280497,0.2644264,264.81763,264.22266,0.0,9.459748e-06
2010-01-16 12:00:00,51.19,22.48,2010-01-16 12:00:00,100901.19,103645.81,0.5802686,-3.872593,1.336626,266.06592,264.3855,842389.0,9.156837e-07
2010-01-16 18:00:00,51.19,22.48,2010-01-16 18:00:00,100831.5,103583.5,0.9085781,-4.5750227,1.707983,263.80957,262.90527,0.0,9.536743e-07
2010-01-17 00:00:00,51.19,22.48,2010-01-17 00:00:00,100607.81,103363.19,1.0,-4.7294464,2.4490461,263.76392,263.01343,0.0,6.274864e-06
2010-01-17 06:00:00,51.19,22.48,2010-01-17 06:00:00,100270.125,102992.375,0.9998217,-4.4132576,3.6078873,265.68677,264.84546,0.0,1.9843428e-06
2010-01-17 12:00:00,51.19,22.48,2010-01-17 12:00:00,100119.75,102819.875,0.9751389,-4.2638826,3.5139484,268.5359,266.74756,845614.56,0.0
2010-01-17 18:00:00,51.19,22.48,2010-01-17 18:00:00,100052.94,102745.56,1.0,-4.4666348,3.7447634,267.9873,266.82153,0.0,0.0
2010-01-18 00:00:00,51.19,22.48,2010-01-18 00:00:00,100005.31,102689.75,1.0,-3.8763924,3.1002827,268.78857,267.60034,0.0,8.776931e-07
2010-01-18 06:00:00,51.19,22.48,2010-01-18 06:00:00,100030.31,102718.625,1.0,-3.6722927,2.614418,268.77466,267.94604,0.0,0.0
2010-01-18 12:00:00,51.19,22.48,2010-01-18 12:00:00,100037.31,102716.875,1.0,-3.505865,2.712183,269.5332,267.77612,642003.5,3.6235866e-07
2010-01-18 18:00:00,51.19,22.48,2010-01-18 18:00:00,100153.375,102850.69,1.0,-3.3992062,1.709816,268.417,267.12842,0.0,4.3874516e-06
2010-01-19 00:00:00,51.19,22.48,2010-01-19 00:00:00,100112.75,102831.5,1.0,-3.2764463,0.81793857,266.16113,265.01636,0.0,5.494102e-06
2010-01-19 06:00:00,51.19,22.48,2010-01-19 06:00:00,100070.125,102809.06,0.99293476,-3.1050272,0.38060504,264.53052,263.72827,0.0,1.0682253e-05
2010-01-19 12:00:00,51.19,22.48,2010-01-19 12:00:00,100030.125,102757.375,1.0,-2.748765,0.25871122,265.20044,262.8662,546416.7,5.3591802e-06
2010-01-19 18:00:00,51.19,22.48,2010-01-19 18:00:00,100004.625,102742.44,0.99808645,-3.1868353,-0.10207027,264.1333,262.60425,0.0,0.00012347521
2010-01-20 00:00:00,51.19,22.48,2010-01-20 00:00:00,99928.69,102666.125,1.0,-3.0605078,-0.57704896,263.93042,262.74243,0.0,0.00019044171
2010-01-20 06:00:00,51.19,22.48,2010-01-20 06:00:00,99868.56,102605.875,1.0,-3.5911818,-0.92373765,263.54858,262.11475,0.0,0.00015843885
2010-01-20 12:00:00,51.19,22.48,2010-01-20 12:00:00,99803.44,102542.69,1.0,-4.825328,-0.70412445,263.76367,260.17676,538711.3,5.53086e-06
2010-01-20 18:00:00,51.19,22.48,2010-01-20 18:00:00,99828.69,102580.44,1.0,-5.5507965,-0.7972195,262.42017,258.5244,0.0,1.4894034e-05
2010-01-21 00:00:00,51.19,22.48,2010-01-21 00:00:00,99907.81,102663.5,0.9783338,-4.717263,-0.38786006,262.20557,259.36157,0.0,3.7652222e-05
2010-01-21 06:00:00,51.19,22.48,2010-01-21 06:00:00,100077.31,102849.69,1.0,-4.396723,-0.56056964,261.67725,259.76978,0.0,1.1712922e-05
2010-01-21 12:00:00,51.19,22.48,2010-01-21 12:00:00,100234.25,102994.25,1.0,-3.9393082,-0.435533,263.21045,260.16626,594617.1,0.00011636397
2010-01-21 18:00:00,51.19,22.48,2010-01-21 18:00:00,100445.94,103214.375,1.0,-3.7774963,-0.8656764,262.50928,259.91992,0.0,2.071634e-05
2010-01-22 00:00:00,51.19,22.48,2010-01-22 00:00:00,100577.94,103345.44,1.0,-3.6944036,-0.94465023,262.73877,259.97168,0.0,1.6709237e-05
2010-01-22 06:00:00,51.19,22.48,2010-01-22 06:00:00,100698.31,103482.625,0.97304416,-4.1278725,-1.0244446,261.53345,258.31152,0.0,7.1719123e-06
2010-01-22 12:00:00,51.19,22.48,2010-01-22 12:00:00,100792.0,103569.69,0.0016197979,-4.0371256,-0.896379,261.96094,256.33228,1053931.0,0.0
2010-01-22 18:00:00,51.19,22.48,2010-01-22 18:00:00,100993.875,103816.75,0.042310562,-3.9817524,-0.35545605,256.88794,253.18478,0.0,0.0
2010-01-23 00:00:00,51.19,22.48,2010-01-23 00:00:00,101013.81,103862.25,0.0065862313,-3.4938793,0.11967951,254.47878,251.77983,0.0,0.0
2010-01-23 06:00:00,51.19,22.48,2010-01-23 06:00:00,101000.31,103873.31,0.9704802,-3.6670618,0.9870507,253.12146,251.0476,0.0,0.0
2010-01-23 12:00:00,51.19,22.48,2010-01-23 12:00:00,100954.25,103787.06,0.889514,-3.3778486,0.2148639,259.1792,254.01636,970387.0,0.0
2010-01-23 18:00:00,51.19,22.48,2010-01-23 18:00:00,101012.125,103864.69,0.21999729,-3.523428,0.48931366,255.15001,252.02048,0.0,0.0
2010-01-24 00:00:00,51.19,22.48,2010-01-24 00:00:00,101017.625,103895.375,0.6042194,-2.8130312,0.021651901,250.7583,248.87038,0.0,9.156837e-07
2010-01-24 06:00:00,51.19,22.48,2010-01-24 06:00:00,101091.69,103989.25,0.99711406,-3.2347746,-0.42059582,249.36267,247.70483,0.0,3.6242373e-06
2010-01-24 12:00:00,51.19,22.48,2010-01-24 12:00:00,101145.06,103996.94,0.19487292,-2.304823,-0.38641936,258.04736,253.71252,1051238.0,1.1447844e-07
2010-01-24 18:00:00,51.19,22.48,2010-01-24 18:00:00,101239.75,104108.75,0.48625523,-2.5624743,0.11386955,254.1561,251.86221,0.0,7.247174e-07
2010-01-25 00:00:00,51.19,22.48,2010-01-25 00:00:00,101279.19,104148.375,0.0,-2.0406036,1.3186779,249.31035,247.20964,0.0,0.0
2010-01-25 06:00:00,51.19,22.48,2010-01-25 06:00:00,101290.69,104148.19,0.12592149,-1.8393059,1.3225727,247.5605,245.41708,0.0,0.0
2010-01-25 12:00:00,51.19,22.48,2010-01-25 12:00:00,101251.81,104094.81,0.94095796,-1.7591925,0.3416828,258.36646,253.69702,1119501.0,0.0
2010-01-25 18:00:00,51.19,22.48,2010-01-25 18:00:00,101238.0,104070.56,0.9073423,-1.7275887,0.39973998,252.41519,250.33508,0.0,0.0
2010-01-26 00:00:00,51.19,22.48,2010-01-26 00:00:00,101237.75,104057.125,0.4334008,-1.7650661,1.2310591,248.83864,246.83344,0.0,0.0
2010-01-26 06:00:00,51.19,22.48,2010-01-26 06:00:00,101178.5,104004.125,0.047811005,-2.498538,0.5260349,245.73012,244.54422,0.0,0.0
2010-01-26 12:00:00,51.19,22.48,2010-01-26 12:00:00,101147.81,103976.31,0.4927836,-0.25871485,-1.3497658,258.9934,254.44716,1059140.0,3.6235866e-07
2010-01-26 18:00:00,51.19,22.48,2010-01-26 18:00:00,101091.375,103900.44,0.83296454,1.1053772,-1.2206411,258.61865,256.26025,0.0,6.3132175e-06
2010-01-27 00:00:00,51.19,22.48,2010-01-27 00:00:00,100878.875,103676.125,0.99952096,2.506527,0.77577555,258.09473,256.32935,0.0,1.9567931e-05
2010-01-27 06:00:00,51.19,22.48,2010-01-27 06:00:00,100445.31,103246.375,1.0,3.1554565,2.0449753,258.11133,256.33008,0.0,4.600489e-05
2010-01-27 12:00:00,51.19,22.48,2010-01-27 12:00:00,99899.125,102649.56,0.99784255,3.2684155,2.1191273,262.2119,259.00732,776069.1,4.1233186e-05
2010-01-27 18:00:00,51.19,22.48,2010-01-27 18:00:00,99286.625,102033.69,0.9747514,1.7689362,3.623335,259.95874,258.26367,0.0,1.9638992e-06
2010-01-28 00:00:00,51.19,22.48,2010-01-28 00:00:00,98202.69,100908.625,1.0,0.48569387,5.8884974,260.71826,258.15356,0.0,3.1102885e-05
2010-01-28 06:00:00,51.19,22.48,2010-01-28 06:00:00,97178.125,99816.31,1.0,3.5971699,6.369178,264.9895,262.37695,0.0,0.00034638238
2010-01-28 12:00:00,51.19,22.48,2010-01-28 12:00:00,96814.25,99433.19,1.0,4.006484,6.3739777,267.1919,265.23242,497246.75,0.00022088953
2010-01-28 18:00:00,51.19,22.48,2010-01-28 18:00:00,96674.0,99253.5,0.9537423,4.7916603,4.95368,270.35132,268.8589,0.0,3.81648e-05
2010-01-29 00:00:00,51.19,22.48,2010-01-29 00:00:00,96623.19,99209.375,0.8068858,3.817522,3.996417,269.71753,268.15308,0.0,6.7112196e-05
